2006-03-01,46199
2006-03-02,47676
2006-03-03,41796
2006-03-04,44450
2006-03-05,51358
2006-03-06,46295
2006-03-07,46293
2006-03-08,44487
2006-03-09,45885
2006-03-10,40205
2006-03-11,41702
2006-03-12,49048
2006-03-13,46631
2006-03-14,45875
2006-03-15,45996
2006-03-16,44054
2006-03-17,40176
2006-03-18,43593
2006-03-19,51868
2006-03-20,46023
2006-03-21,45960
2006-03-22,46805
2006-03-23,44447
2006-03-24,42100
2006-03-25,43730
2006-03-26,47799
2006-03-27,44812
2006-03-28,45595
2006-03-29,43357
2006-03-30,41886
2006-03-31,37625
2006-04-01,40064
2006-04-02,42404
2006-04-03,43696
2006-04-04,33676
2006-04-05,31826
2006-04-06,32078
2006-04-07,29517
2006-04-08,31884
2006-04-09,33608
2006-04-14,30228
2006-04-10,32155
2006-04-11,32351
2006-04-12,26196
2006-04-13,21435
2006-04-15,29385
2006-04-16,30879
2006-04-17,34250
2006-04-18,31342
2006-04-19,31202
2006-04-20,30423
2006-04-21,30496
2006-04-22,32126
2006-04-23,35361
2006-04-24,33491
2006-04-25,32383
2006-04-26,31619
2006-04-27,30590
2006-04-28,27158
2006-04-29,29749
2006-04-30,32293
2006-05-01,31523
2006-05-02,32498
2006-05-03,37641
2006-05-04,39857
2006-05-05,35768
2006-05-06,38387
2006-05-07,43781
2006-05-08,43692
2006-05-09,42996
2006-05-10,42116
2006-05-11,41788
2006-05-12,39048
2006-05-13,39718
2006-05-14,40884
2006-05-15,44437
2006-05-16,35393
2006-05-17,317
2006-05-18,41455
2006-05-19,38850
2006-05-20,39402
2006-05-21,44484
2006-05-22,46346
2006-05-23,43360
2006-05-24,39281
2006-05-25,38482
2006-05-26,37256
2006-05-27,35715
2006-05-28,34305
2006-05-29,42689
2006-05-30,43563
2006-05-31,45788
